date,location,target,assay,conc,type,frequency,lod
2021-09-09,intake,total_cyano,16s rrna,196095.7651004624,passive,weekly,260
2021-09-14,inlet,cyra,toxins,606.5062058712009,passive,bi-weekly,260
2021-09-14,inlet,sxta,toxins,800.4480760872015,passive,bi-weekly,260
2021-09-14,inlet,mcye_ndaf,toxins,45.29449969430935,passive,bi-weekly,260
2021-09-14,inlet,total_cyano,16s rrna,2216230.9353322526,passive,bi-weekly,260
2021-09-14,outlet,total_cyano,16s rrna,1085305.4411973297,passive,weekly,260
2021-09-14,outlet,total_cyano,16s rrna,708905.9513902199,passive,bi-weekly,260
2021-09-14,inlet,total_cyano,16s rrna,380215.5606163065,grab,weekly,180
2021-09-14,outlet,total_cyano,16s rrna,384233.2792266355,grab,weekly,180
2021-09-14,inlet,total_cyano,16s rrna,478473.5833315002,passive,weekly,260
2021-09-14,inlet,cyra,toxins,2699.7619344753575,passive,bi-weekly,260
2021-09-14,outlet,cyra,toxins,NA,passive,weekly,260
2021-09-14,outlet,cyra,toxins,22.740402941662243,passive,bi-weekly,260
2021-09-14,inlet,cyra,toxins,NA,grab,weekly,180
2021-09-14,outlet,cyra,toxins,4.394502847782975,grab,weekly,180
2021-09-14,inlet,cyra,toxins,187.5480768044468,passive,weekly,260
2021-09-14,inlet,sxta,toxins,636.22022935937,passive,bi-weekly,260
2021-09-14,outlet,sxta,toxins,NA,passive,weekly,260
2021-09-14,outlet,sxta,toxins,NA,passive,bi-weekly,260
2021-09-14,inlet,sxta,toxins,NA,grab,weekly,180
2021-09-14,outlet,sxta,toxins,NA,grab,weekly,180
2021-09-14,inlet,sxta,toxins,NA,passive,weekly,260
2021-09-14,inlet,mcye_ndaf,toxins,1701.9463437675988,passive,bi-weekly,260
2021-09-14,outlet,mcye_ndaf,toxins,3739.362835715388,passive,weekly,260
2021-09-14,outlet,mcye_ndaf,toxins,1479.8844700387501,passive,bi-weekly,260
2021-09-14,inlet,mcye_ndaf,toxins,4363.869588520789,grab,weekly,180
2021-09-14,outlet,mcye_ndaf,toxins,27068.9444202211,grab,weekly,180
2021-09-14,inlet,mcye_ndaf,toxins,26.75776176383171,passive,weekly,260
2021-09-16,intake,total_cyano,16s rrna,1001635.0917861128,passive,weekly,260
